customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,0,0,1,0,0.4264026973998779,1,1,0,0,2,0,0,0,0,0,1,2,0.11542288557213937,0.0012750980844680182,0
5575-GNVDE,1,0,0,0,0.4492753623188405,1,0,0,2,0,2,0,0,0,1,0,3,0.3850746268656717,0.21586660512347103,0
3668-QPYBK,1,0,0,0,0.4661002186524596,1,0,0,2,2,0,0,0,0,0,1,3,0.35422885572139307,0.010310408492960998,1
7795-CFOCW,1,0,0,0,0.6086956521739131,1,1,0,2,0,2,2,0,0,1,0,0,0.23930348258706466,0.21024117239787674,0
9237-HQITU,0,0,0,0,0.4661002186524596,1,0,1,0,0,0,0,0,0,0,1,2,0.5218905472636817,0.015330025386568191,1
9305-CDSKC,0,0,0,0,0.07246376811594202,1,2,1,0,0,2,0,2,2,0,1,2,0.809950248756219,0.09251096238172163,1
1452-KIOVK,1,0,0,1,0.2753623188405797,1,2,1,0,2,0,0,2,0,0,1,1,0.7049751243781094,0.22277867528271406,0
6713-OKOMC,0,0,0,0,0.1014492753623188,1,1,0,2,0,0,0,0,0,0,0,3,0.11442786069651745,0.032667897530579276,0
7892-POOKP,0,0,1,0,0.3623188405797101,1,2,1,0,0,2,2,2,2,0,1,2,0.8611940298507463,0.3493249480729287,1
6388-TABGU,1,0,0,1,0.855072463768116,1,0,0,2,2,0,0,0,0,1,0,0,0.37711442786069654,0.40031733210246945,0
9763-GRSKD,1,0,1,1,0.14492753623188404,1,0,0,2,0,0,0,0,0,0,1,3,0.3154228855721394,0.06561850911608585,0
7469-LKBCI,1,0,0,0,0.18840579710144925,1,0,2,1,1,1,1,1,1,2,0,1,0.006965174129353324,0.03554119547657511,0
8091-TTVAX,1,0,1,0,0.7971014492753623,1,2,1,0,0,2,0,2,2,1,0,1,0.8169154228855722,0.6533925686591278,0
0280-XJGEX,1,0,0,0,0.6666666666666666,1,2,1,0,2,2,0,2,2,0,1,0,0.8502487562189055,0.578986845141934,1
5129-JLPIS,1,0,0,0,0.3188405797101449,1,0,1,2,0,2,2,2,2,0,1,2,0.8681592039800996,0.30778329102238633,0
3655-SNQYZ,0,0,1,1,0.9565217391304347,1,2,1,2,2,2,2,2,2,2,0,1,0.945273631840796,0.9088795291945534,0
8191-XWSZG,0,0,0,0,0.7101449275362318,1,0,2,1,1,1,1,1,1,1,0,3,0.023880597014925398,0.11587237479806137,0
9959-WOFKT,1,0,0,1,0.9855072463768115,1,2,1,2,0,2,0,2,2,2,0,0,0.8800995024875622,0.8496942072467113,0
4190-MFLUW,0,0,1,1,0.1014492753623188,1,0,0,0,0,2,2,0,0,0,0,1,0.3676616915422886,0.05879875375028845,1
4183-MYFRB,0,0,0,0,0.26086956521739124,1,0,1,0,2,2,0,0,2,0,1,2,0.7144278606965173,0.21279713824140317,0
8779-QRDMV,1,0,0,0,0.4264026973998779,1,1,0,0,0,2,0,0,2,0,1,2,0.21293532338308457,0.002405954304177227,1
1680-VDCWW,1,0,1,0,0.13043478260869562,1,0,2,1,1,1,1,1,1,1,0,0,0.015422885572139333,0.021168936072005512,0
1066-JKSGK,1,0,0,0,0.4264026973998779,1,0,2,1,1,1,1,1,1,0,0,3,0.018905472636815968,0.00015578121393955424,1
3638-WEABW,0,0,1,0,0.7971014492753623,1,2,0,0,2,0,2,0,0,2,1,1,0.41442786069651744,0.40229633048696056,0
6322-HRPFA,1,0,1,1,0.6666666666666666,1,0,0,2,2,0,2,0,0,0,0,1,0.4114427860696518,0.34058389106854375,0
6865-JZNKO,0,0,0,0,0.39130434782608686,1,0,0,2,2,0,0,0,0,0,1,0,0.3686567164179104,0.17445188091391642,0
6467-CHFZW,1,0,1,1,0.6376811594202898,1,2,1,0,2,0,0,2,2,0,1,2,0.8069651741293533,0.5458516039695361,1
8665-UTDHZ,1,0,1,1,0.4264026973998779,1,1,0,0,2,0,0,0,0,0,0,2,0.11890547263681595,0.0013154858066004582,1
